timestamp	cpu_percent	rss_kb
2025-08-03 19:55:30	69.5	604064
2025-08-03 19:55:31	69.6	614072
2025-08-03 19:55:32	69.6	603420
2025-08-03 19:55:34	69.6	603420
2025-08-03 19:55:35	69.5	603420
2025-08-03 19:55:36	69.6	610796
2025-08-03 19:55:37	69.6	593020
2025-08-03 19:55:38	69.6	593020
2025-08-03 19:55:39	69.5	593540
2025-08-03 19:55:40	69.6	603032
2025-08-03 19:55:41	69.6	603620
2025-08-03 19:55:42	69.6	603620
2025-08-03 19:55:43	69.5	603620
2025-08-03 19:55:44	69.5	603620
2025-08-03 19:55:45	69.5	603620
